MODULE;DATA_ID;WORKSHEET;CELL_REF;RC_CODE;TYPE;LENGTH;MONETARY;CLOSED_LIST;DEFAULT_LIST_VALUE;SHORT_DESCRIPTION;Comment
MCR;MCR_NLF_NLF_PREM_WRIT_N_NLSEG12;MCR;I29;R29C9;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net written premiums - Non-proportional property RI;
MCR;MCR_NLF_LIF_PREM_WRIT_N_HESEG01;MCR;J14;R14C10;N;8;Y;;;MCR - Non-Life - Life activities - Net written premiums - Medical expense insurance;
MCR;MCR_NLF_LIF_PREM_WRIT_N_HESEG02;MCR;J15;R15C10;N;8;Y;;;MCR - Non-Life - Life activities - Net written premiums - Income protection insurance;
MCR;MCR_NLF_LIF_PREM_WRIT_N_HESEG03;MCR;J16;R16C10;N;8;Y;;;MCR - Non-Life - Life activities - Net written premiums - Workers' compensation insurance;
MCR;MCR_NLF_LIF_PREM_WRIT_N_HESEG04;MCR;J17;R17C10;N;8;Y;;;MCR - Non-Life - Life activities - Net written premiums - Non proportional health RI;
MCR;MCR_NLF_LIF_PREM_WRIT_N_NLSEG01;MCR;J18;R18C10;N;8;Y;;;MCR - Non-Life - Life activities - Net written premiums - Motor vehicle liability insurance and proportional RI;
MCR;MCR_NLF_LIF_PREM_WRIT_N_NLSEG02;MCR;J19;R19C10;N;8;Y;;;MCR - Non-Life - Life activities - Net written premiums - Other motor insurance and proportional RI;
MCR;MCR_NLF_LIF_PREM_WRIT_N_NLSEG03;MCR;J20;R20C10;N;8;Y;;;MCR - Non-Life - Life activities - Net written premiums - Marine, aviation and transport insurance and proportional RI;
MCR;MCR_NLF_LIF_PREM_WRIT_N_NLSEG04;MCR;J21;R21C10;N;8;Y;;;MCR - Non-Life - Life activities - Net written premiums - Fire and other damage to property insurance and proportional RI;
MCR;MCR_NLF_LIF_PREM_WRIT_N_NLSEG05;MCR;J22;R22C10;N;8;Y;;;MCR - Non-Life - Life activities - Net written premiums - General liability insurance and proportional RI;
MCR;MCR_NLF_LIF_PREM_WRIT_N_NLSEG06;MCR;J23;R23C10;N;8;Y;;;MCR - Non-Life - Life activities - Net written premiums - Credit and suretyship insurance and proportional RI;
MCR;MCR_NLF_LIF_PREM_WRIT_N_NLSEG07;MCR;J24;R24C10;N;8;Y;;;MCR - Non-Life - Life activities - Net written premiums - Legal expenses insurance and proportional RI;
MCR;MCR_NLF_LIF_PREM_WRIT_N_NLSEG08;MCR;J25;R25C10;N;8;Y;;;MCR - Non-Life - Life activities - Net written premiums - Assistance and its proportional RI;
MCR;MCR_NLF_LIF_PREM_WRIT_N_NLSEG09;MCR;J26;R26C10;N;8;Y;;;MCR - Non-Life - Life activities - Net written premiums - Misceallaneous financial loss insurance and proportional RI;
MCR;MCR_NLF_LIF_PREM_WRIT_N_NLSEG10;MCR;J27;R27C10;N;8;Y;;;MCR - Non-Life - Life activities - Net written premiums - Non-proportional casualty RI;
MCR;MCR_NLF_LIF_PREM_WRIT_N_NLSEG11;MCR;J28;R28C10;N;8;Y;;;MCR - Non-Life - Life activities - Net written premiums - Non-proportional marine, aviation and transport RI ;
MCR;MCR_NLF_LIF_PREM_WRIT_N_NLSEG12;MCR;J29;R29C10;N;8;Y;;;MCR - Non-Life - Life activities - Net written premiums - Non-proportional property RI;
MCR;MCR_NLF_NLF_BE_N_HESEG01;MCR;K14;R14C11;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net BE - Medical expense insurance;
MCR;MCR_NLF_NLF_BE_N_HESEG02;MCR;K15;R15C11;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net BE - Income protection insurance;
MCR;MCR_NLF_NLF_BE_N_HESEG03;MCR;K16;R16C11;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net BE - Workers' compensation insurance;
MCR;MCR_NLF_NLF_BE_N_HESEG04;MCR;K17;R17C11;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net BE - Non proportional health RI;
MCR;MCR_NLF_NLF_BE_N_NLSEG01;MCR;K18;R18C11;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net BE - Motor vehicle liability insurance and proportional RI;
MCR;MCR_NLF_NLF_BE_N_NLSEG02;MCR;K19;R19C11;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net BE - Other motor insurance and proportional RI;
MCR;MCR_NLF_NLF_BE_N_NLSEG03;MCR;K20;R20C11;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net BE - Marine, aviation and transport insurance and proportional RI;
MCR;MCR_NLF_NLF_BE_N_NLSEG04;MCR;K21;R21C11;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net BE - Fire and other damage to property insurance and proportional RI;
MCR;MCR_NLF_NLF_BE_N_NLSEG05;MCR;K22;R22C11;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net BE - General liability insurance and proportional RI;
MCR;MCR_NLF_NLF_BE_N_NLSEG06;MCR;K23;R23C11;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net BE - Credit and suretyship insurance and proportional RI;
MCR;MCR_NLF_NLF_BE_N_NLSEG07;MCR;K24;R24C11;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net BE - Legal expenses insurance and proportional RI;
MCR;MCR_NLF_NLF_BE_N_NLSEG08;MCR;K25;R25C11;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net BE - Assistance and its proportional RI;
MCR;MCR_NLF_NLF_BE_N_NLSEG09;MCR;K26;R26C11;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net BE - Misceallaneous financial loss insurance and proportional RI;
MCR;MCR_NLF_NLF_BE_N_NLSEG10;MCR;K27;R27C11;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net BE - Non-proportional casualty RI;
MCR;MCR_NLF_NLF_BE_N_NLSEG11;MCR;K28;R28C11;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net BE - Non-proportional marine, aviation and transport RI ;
MCR;MCR_NLF_NLF_BE_N_NLSEG12;MCR;K29;R29C11;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net BE - Non-proportional property RI;
MCR;MCR_NLF_LIF_BE_N_HESEG01;MCR;L14;R14C12;N;8;Y;;;MCR - Non-Life - Life activities - Net BE - Medical expense insurance;
MCR;MCR_NLF_LIF_BE_N_HESEG02;MCR;L15;R15C12;N;8;Y;;;MCR - Non-Life - Life activities - Net BE - Income protection insurance;
MCR;MCR_NLF_LIF_BE_N_HESEG03;MCR;L16;R16C12;N;8;Y;;;MCR - Non-Life - Life activities - Net BE - Workers' compensation insurance;
MCR;MCR_NLF_LIF_BE_N_HESEG04;MCR;L17;R17C12;N;8;Y;;;MCR - Non-Life - Life activities - Net BE - Non proportional health RI;
MCR;MCR_NLF_LIF_BE_N_NLSEG01;MCR;L18;R18C12;N;8;Y;;;MCR - Non-Life - Life activities - Net BE - Motor vehicle liability insurance and proportional RI;
MCR;MCR_NLF_LIF_BE_N_NLSEG02;MCR;L19;R19C12;N;8;Y;;;MCR - Non-Life - Life activities - Net BE - Other motor insurance and proportional RI;
MCR;MCR_NLF_LIF_BE_N_NLSEG03;MCR;L20;R20C12;N;8;Y;;;MCR - Non-Life - Life activities - Net BE - Marine, aviation and transport insurance and proportional RI;
MCR;MCR_NLF_LIF_BE_N_NLSEG04;MCR;L21;R21C12;N;8;Y;;;MCR - Non-Life - Life activities - Net BE - Fire and other damage to property insurance and proportional RI;
MCR;MCR_NLF_LIF_BE_N_NLSEG05;MCR;L22;R22C12;N;8;Y;;;MCR - Non-Life - Life activities - Net BE - General liability insurance and proportional RI;
MCR;MCR_NLF_LIF_BE_N_NLSEG06;MCR;L23;R23C12;N;8;Y;;;MCR - Non-Life - Life activities - Net BE - Credit and suretyship insurance and proportional RI;
MCR;MCR_NLF_LIF_BE_N_NLSEG07;MCR;L24;R24C12;N;8;Y;;;MCR - Non-Life - Life activities - Net BE - Legal expenses insurance and proportional RI;
MCR;MCR_NLF_LIF_BE_N_NLSEG08;MCR;L25;R25C12;N;8;Y;;;MCR - Non-Life - Life activities - Net BE - Assistance and its proportional RI;
MCR;MCR_NLF_LIF_BE_N_NLSEG09;MCR;L26;R26C12;N;8;Y;;;MCR - Non-Life - Life activities - Net BE - Misceallaneous financial loss insurance and proportional RI;
MCR;MCR_NLF_LIF_BE_N_NLSEG10;MCR;L27;R27C12;N;8;Y;;;MCR - Non-Life - Life activities - Net BE - Non-proportional casualty RI;
MCR;MCR_NLF_LIF_BE_N_NLSEG11;MCR;L28;R28C12;N;8;Y;;;MCR - Non-Life - Life activities - Net BE - Non-proportional marine, aviation and transport RI ;
MCR;MCR_NLF_LIF_BE_N_NLSEG12;MCR;L29;R29C12;N;8;Y;;;MCR - Non-Life - Life activities - Net BE - Non-proportional property RI;
MCR;MCR_LIF_NLF_CAR_N;MCR;I35;R35C9;N;8;Y;;;MCR - Life - Non-Life activities - Net CaR - all contracts;
MCR;MCR_LIF_LIF_CAR_N;MCR;J35;R35C10;N;8;Y;;;MCR - Life - Life activities - Net CaR - all contracts (w/o health SLT);
MCR;MCR_FLAG_ART_73_2;MCR;I36;R36C9;C;1;N;Flag yes/no;no;MCR - Flag indicating if composite undertaking falls under Art. 73(2);
MCR;MCR_LIF_PREM_WRIT_G;MCR;I37;R37C9;N;8;Y;;;MCR - Gross written premiums - Life;
MCR;MCR_NLF_PREM_WRIT_G;MCR;I38;R38C9;N;8;Y;;;MCR - Gross written premiums - Non-Life;
MCR;MCR_FLOOR_LIF;MCR;I39;R39C9;N;8;Y;;;MCR - Country specific floor MCR_L;Need to clarify how to deal with this input. One could map it to ENTITY, however maximisation with regulatory figures such is done in the Solit kernel is not performed in SAS IRM.
MCR;MCR_FLOOR_NLF;MCR;I40;R40C9;N;8;Y;;;MCR - Country specific floor MCR_NL;Need to clarify how to deal with this input. One could map it to ENTITY, however maximisation with regulatory figures such is done in the Solit kernel is not performed in SAS IRM.
SCR;SCR_ADDON_NLF;Basic input;J548;R548C10;N;8;Y;;;SCR - Add-On_NL ;
SCR;SCR_ADDON_NLF_A;Basic input;J549;R549C10;N;8;Y;;;SCR - Add-On_NL ;
SCR;SCR_ADDON_NLF_B;Basic input;J550;R550C10;N;8;Y;;;SCR - Add-On_NL ;
SCR;SCR_ADDON_NLF_C;Basic input;J551;R551C10;N;8;Y;;;SCR - Add-On_NL ;
SCR;SCR_ADDON_NLF_D;Basic input;J552;R552C10;N;8;Y;;;SCR - Add-On_NL ;
SCR;SCR_ADDON_LIF;Basic input;J553;R553C10;N;8;Y;;;SCR - Add-On_L ;
SCR;SCR_ADDON_LIF_A;Basic input;J554;R554C10;N;8;Y;;;SCR - Add-On_L ;
SCR;SCR_ADDON_LIF_B;Basic input;J555;R555C10;N;8;Y;;;SCR - Add-On_L ;
SCR;SCR_ADDON_LIF_C;Basic input;J556;R556C10;N;8;Y;;;SCR - Add-On_L ;
SCR;SCR_ADDON_LIF_D;Basic input;J557;R557C10;N;8;Y;;;SCR - Add-On_L ;
SCR;SCR_DATE_ODOCAO;Basic input;J558;R558C10;D;8;N;;;SCR - Add-On_L ;
SCR;SCR_REASON_OCAO;Basic input;J559;R559C10;C;8;N;;;SCR - Add-On_L ;
Adjustments;ADJ_LAC_TP_LIFE;Basic input;E373;R373C5;N;8;Y;;;Loss absorbing capacity of technical provisions - Life technique;
Adjustments;ADJ_LAC_TP_NLIFE;Basic input;F373;R373C6;N;8;Y;;;Loss absorbing capacity of technical provisions - Non-Life technique;
Adjustments;ADJ_DT_METH;Basic input;E388;R388C5;C;32;N;Method adjustment DT;Group methodology;Calculation method of risk mitigating effect through deferred tax;
Adjustments;ADJ_DT_A_REALISATION_PCT;Basic input;E389;R389C5;N;8;N;;;Amount of positive change in deferred tax assets (after netting with deferred tax liabilities) to be used for risk mitigation (in %);
Adjustments;ADJ_DT_TX_APPROACH;Basic input;E391;R391C5;C;32;N;LACDT - Tax approach;1 - yes;Flag - Approach based on average tax rate;
Adjustments;ADJ_DT_TX_RT;Basic input;E392;R392C5;N;8;N;;;Tax rate;
Adjustments;ADJ_DT_A_CF_BC;Basic input;E397;R397C5;N;8;Y;;;Deferred tax asset carry forward before shock;
Adjustments;ADJ_DT_A_DTD_BC;Basic input;E398;R398C5;N;8;Y;;;Deferred tax asset due to deductible temporary differences before shock;
Adjustments;ADJ_DT_L_BC;Basic input;E399;R399C5;N;8;Y;;;Deferred tax liability before shock;
Adjustments;ADJ_DT_A_CF_SH;Basic input;F397;R397C6;N;8;Y;;;Deferred tax asset carry forward after shock;
Adjustments;ADJ_DT_A_DTD_SH;Basic input;F398;R398C6;N;8;Y;;;Deferred tax asset due to deductible temporary differences after shock;
Adjustments;ADJ_DT_L_SH;Basic input;F399;R399C6;N;8;Y;;;Deferred tax liability after shock;
Adjustments;ADJ_DT_LAC_DTF;Basic input;G401;R401C7;N;8;Y;;;LAC DT justified by reversion of deferred tax liabilities;
Adjustments;ADJ_DT_LAC_FTP;Basic input;G402;R402C7;N;8;Y;;;LAC DT justified by reference to probable future taxable profit;
Adjustments;ADJ_DT_LAC_CB_CY;Basic input;G403;R403C7;N;8;Y;;;LAC DT justified by carry back, current year;
Adjustments;ADJ_DT_LAC_CB_FY;Basic input;G404;R404C7;N;8;Y;;;LAC DT justified by carry back, future years;
Adjustments;ADJ_DT_LAC_MAX;Basic input;G405;R405C7;N;8;Y;;;Maximum LAC DT;
Adjustments;ADJ_DT_BASE_MKT_IR;Basic input;J390;R390C10;N;8;N;;;Base of taxation - Interest rate risk;
Adjustments;ADJ_DT_BASE_MKT_EQ;Basic input;J391;R391C10;N;8;N;;;Base of taxation - Equity risk;
Adjustments;ADJ_DT_BASE_MKT_PR;Basic input;J392;R392C10;N;8;N;;;Base of taxation - Property Risk;
Adjustments;ADJ_DT_BASE_MKT_SP;Basic input;J393;R393C10;N;8;N;;;Base of taxation - Spread Risk;
Adjustments;ADJ_DT_BASE_MKT_CO;Basic input;J394;R394C10;N;8;N;;;Base of taxation - Concentration Risk;
Adjustments;ADJ_DT_BASE_MKT_FX;Basic input;J395;R395C10;N;8;N;;;Base of taxation - Currency Risk;
Adjustments;ADJ_DT_BASE_CPTY;Basic input;J396;R396C10;N;8;N;;;Base of taxation - Counterparty default risk;
Adjustments;ADJ_DT_BASE_LIFE;Basic input;J397;R397C10;N;8;N;;;Base of taxation - Life underwriting risk;
Adjustments;ADJ_DT_BASE_HEALTH;Basic input;J398;R398C10;N;8;N;;;Base of taxation - Health underwriting risk;
Adjustments;ADJ_DT_BASE_NLIFE;Basic input;J399;R399C10;N;8;N;;;Base of taxation - Non-life underwriting risk;
Adjustments;ADJ_DT_BASE_IA;Basic input;J400;R400C10;N;8;N;;;Base of taxation - Intangible assets risk;
Adjustments;ADJ_DT_BASE_OPRISK;Basic input;J401;R401C10;N;8;N;;;Base of taxation - Operational risk;
RFF/MAP;ADJ_RFF_MAP_VAL;Basic input;J547;R547C10;N;8;Y;;;Adjustment due to RFF/MAP nSCR aggregation;Article 216 (1.) & 217 [2015/35/EU]
Operational Risk;OP_P_LF_PY_LOB30;OpRisk;H10;R10C8;N;8;Y;;;Operational risk - Earned gross premiums during the 12 months prior to the last 12 months - Line of Business 30 (Life insurance with profit participation - Primary Insurance Business);
Operational Risk;OP_P_LF_PY_LOB30_RI;OpRisk;H11;R11C8;N;8;Y;;;Operational risk - Earned gross premiums during the 12 months prior to the last 12 months - Line of Business 36 (Life insurance with profit participation - Reinsurance Business Assumed);
Operational Risk;OP_P_LF_PY_LOB31;OpRisk;H12;R12C8;N;8;Y;;;Operational risk - Earned gross premiums during the 12 months prior to the last 12 months - Line of Business 31 (Life unit-linked & index-linked - Primary Insurance Business);
Operational Risk;OP_P_LF_PY_LOB31_RI;OpRisk;H13;R13C8;N;8;Y;;;Operational risk - Earned gross premiums during the 12 months prior to the last 12 months - Line of Business 36 (Life unit-linked & index-linked - Reinsurance Business Assumed);
Operational Risk;OP_P_LF_PY_LOB32;OpRisk;H14;R14C8;N;8;Y;;;Operational risk - Earned gross premiums during the 12 months prior to the last 12 months - Line of Business 32 (Other life insurance - Primary Insurance Business);
Operational Risk;OP_P_LF_PY_LOB32_RI;OpRisk;H15;R15C8;N;8;Y;;;Operational risk - Earned gross premiums during the 12 months prior to the last 12 months - Line of Business 36 (Other life insurance - Reinsurance Business Assumed);
Operational Risk;OP_P_LF_PY_LOB29;OpRisk;H18;R18C8;N;8;Y;;;Operational risk - Earned gross premiums during the 12 months prior to the last 12 months - Line of Business 29 (Health SLT insurance (direct business) - Primary Insurance Business);
Operational Risk;OP_P_LF_PY_LOB29_RI;OpRisk;H19;R19C8;N;8;Y;;;Operational risk - Earned gross premiums during the 12 months prior to the last 12 months - Line of Business 35 (Health SLT insurance (direct business) - Reinsurance Business Assumed);
Operational Risk;OP_P_NL_PY_LOB01;OpRisk;H22;R22C8;N;8;Y;;;Operational risk - Earned gross premiums during the 12 months prior to the last 12 months - Line of Business 1 (Medical expense insurance - Primary Insurance Business);
Operational Risk;OP_P_NL_PY_LOB13;OpRisk;H23;R23C8;N;8;Y;;;Operational risk - Earned gross premiums during the 12 months prior to the last 12 months - Line of Business 13 (Medical expense insurance - Reinsurance Business Assumed);
Operational Risk;OP_P_NL_PY_LOB02;OpRisk;H24;R24C8;N;8;Y;;;Operational risk - Earned gross premiums during the 12 months prior to the last 12 months - Line of Business 2 (Income protection insurance - Primary Insurance Business);
Operational Risk;OP_P_NL_PY_LOB14;OpRisk;H25;R25C8;N;8;Y;;;Operational risk - Earned gross premiums during the 12 months prior to the last 12 months - Line of Business 14 (Income protection insurance - Reinsurance Business Assumed);
Operational Risk;OP_P_NL_PY_LOB03;OpRisk;H26;R26C8;N;8;Y;;;Operational risk - Earned gross premiums during the 12 months prior to the last 12 months - Line of Business 3 (Workers' compensation insurance - Primary Insurance Business);
Operational Risk;OP_P_NL_PY_LOB15;OpRisk;H27;R27C8;N;8;Y;;;Operational risk - Earned gross premiums during the 12 months prior to the last 12 months - Line of Business 15 (Workers' compensation insurance - Reinsurance Business Assumed);
Operational Risk;OP_P_NL_PY_LOB25;OpRisk;H28;R28C8;N;8;Y;;;Operational risk - Earned gross premiums during the 12 months prior to the last 12 months - Line of Business 25 (Non-proportional health reinsurance - Reinsurance Business Assumed);
Operational Risk;OP_P_NL_PY_LOB04;OpRisk;H29;R29C8;N;8;Y;;;Operational risk - Earned gross premiums during the 12 months prior to the last 12 months - Line of Business 4 (Motor vehicle liability insurance - Primary Insurance Business);
Operational Risk;OP_P_NL_PY_LOB16;OpRisk;H30;R30C8;N;8;Y;;;Operational risk - Earned gross premiums during the 12 months prior to the last 12 months - Line of Business 16 (Motor vehicle liability insurance - Reinsurance Business Assumed);
Operational Risk;OP_P_NL_PY_LOB05;OpRisk;H31;R31C8;N;8;Y;;;Operational risk - Earned gross premiums during the 12 months prior to the last 12 months - Line of Business 5 (Other motor insurance - Primary Insurance Business);
Operational Risk;OP_P_NL_PY_LOB17;OpRisk;H32;R32C8;N;8;Y;;;Operational risk - Earned gross premiums during the 12 months prior to the last 12 months - Line of Business 17 (Other motor insurance - Reinsurance Business Assumed);
Operational Risk;OP_P_NL_PY_LOB06;OpRisk;H33;R33C8;N;8;Y;;;Operational risk - Earned gross premiums during the 12 months prior to the last 12 months - Line of Business 6 (Marine, aviation and transport insurance - Primary Insurance Business);
Operational Risk;OP_P_NL_PY_LOB18;OpRisk;H34;R34C8;N;8;Y;;;Operational risk - Earned gross premiums during the 12 months prior to the last 12 months - Line of Business 18 (Marine, aviation and transport insurance - Reinsurance Business Assumed);
Operational Risk;OP_P_NL_PY_LOB07;OpRisk;H35;R35C8;N;8;Y;;;Operational risk - Earned gross premiums during the 12 months prior to the last 12 months - Line of Business 7 (Fire and other damage to property insurance - Primary Insurance Business);
Operational Risk;OP_P_NL_PY_LOB19;OpRisk;H36;R36C8;N;8;Y;;;Operational risk - Earned gross premiums during the 12 months prior to the last 12 months - Line of Business 19 (Fire and other damage to property insurance - Reinsurance Business Assumed);
Operational Risk;OP_P_NL_PY_LOB08;OpRisk;H37;R37C8;N;8;Y;;;Operational risk - Earned gross premiums during the 12 months prior to the last 12 months - Line of Business 8 (General liability insurance - Primary Insurance Business);
Operational Risk;OP_P_NL_PY_LOB20;OpRisk;H38;R38C8;N;8;Y;;;Operational risk - Earned gross premiums during the 12 months prior to the last 12 months - Line of Business 20 (General liability insurance - Reinsurance Business Assumed);
Operational Risk;OP_P_NL_PY_LOB09;OpRisk;H39;R39C8;N;8;Y;;;Operational risk - Earned gross premiums during the 12 months prior to the last 12 months - Line of Business 9 (Credit and suretyship insurance - Primary Insurance Business);
Operational Risk;OP_P_NL_PY_LOB21;OpRisk;H40;R40C8;N;8;Y;;;Operational risk - Earned gross premiums during the 12 months prior to the last 12 months - Line of Business 21 (Credit and suretyship insurance - Reinsurance Business Assumed);
Operational Risk;OP_P_NL_PY_LOB10;OpRisk;H41;R41C8;N;8;Y;;;Operational risk - Earned gross premiums during the 12 months prior to the last 12 months - Line of Business 10 (Legal expenses insurance - Primary Insurance Business);
Operational Risk;OP_P_NL_PY_LOB22;OpRisk;H42;R42C8;N;8;Y;;;Operational risk - Earned gross premiums during the 12 months prior to the last 12 months - Line of Business 22 (Legal expenses insurance - Reinsurance Business Assumed);
